HomeTeam,HomePoints,AwayPoints,TotalPoints,GoalsFor,GoalsAgainst,GoalDifference
Man City,47,46,93,99,26,73
Liverpool,49,43,92,94,26,68
Chelsea,34,40,74,76,33,43
Tottenham,40,31,71,69,40,29
Arsenal,41,28,69,61,48,13
Man United,35,23,58,57,57,0
West Ham,32,24,56,60,51,9
Leicester,34,18,52,62,59,3
Brighton,22,29,51,42,44,-2
Wolves,24,27,51,38,43,-5
Newcastle,30,19,49,44,62,-18
Crystal Palace,29,19,48,50,46,4
Brentford,24,22,46,48,56,-8
Aston Villa,23,22,45,52,54,-2
Southampton,25,15,40,43,67,-24
Everton,29,10,39,43,66,-23
Leeds,18,20,38,42,79,-37
Burnley,21,14,35,34,53,-19
Watford,8,15,23,34,77,-43
Norwich,12,10,22,23,84,-61
